method,w,av_c_num,std_c_num,av_sq,std_sq,av_tq,std_tq,av_total_score,av_purity,std_purity
baseline,0.0,2.06,0.6789772463124969,0.6992894769686263,0.2508030561176284,0.3206999999999999,0.19524786112202938,0.5099947384843131,0.2874999999999997,0.05713045500334203
moscat,0.0,2.06,0.6789772463124969,0.6992894769686263,0.2508030561176284,0.3206999999999999,0.19524786112202938,0.5099947384843131,0.2874999999999997,0.05713045500334203
moscat,0.1,2.16,0.5811865258054232,0.7780344783967378,0.08990257491126231,0.33180000000000015,0.2039230395531757,0.554917239198369,0.28999999999999965,0.05621140651346684
moscat,0.2,2.09,0.45159649460485624,0.7738265359537589,0.09177529377965433,0.34540000000000004,0.19993645455140457,0.5596132679768795,0.28737499999999966,0.05396217226310979
moscat,0.30000000000000004,2.23,0.600588936550675,0.7439831199144075,0.08605965860020255,0.39650000000000013,0.12819157853806468,0.5702415599572038,0.332,0.07646548042724702
moscat,0.4,2.98,1.3331818095720243,0.7005972309922595,0.07768647942402454,0.5551999999999999,0.10536593281502232,0.6278986154961297,0.42912500000000003,0.06040830663162981
moscat,0.5,3.09,1.2799542289796257,0.6320519870331921,0.10623735606221996,0.5872999999999999,0.12112982433502635,0.609675993516596,0.4777499999999999,0.059048109986089246
moscat,0.6000000000000001,2.44,0.7291893935852137,0.6106704641252161,0.16762589467679204,0.6109,0.1741072176342016,0.610785232062608,0.4542499999999999,0.08956298218448165
moscat,0.7000000000000001,2.36,0.6744994402884964,0.5916642645662593,0.19736844503524936,0.6197,0.17781192538207558,0.6056821322831297,0.44675,0.09611486972273427
moscat,0.8,2.89,1.6629959577688562,0.5325805822244981,0.3106527855896311,0.6724999999999999,0.2118765363759439,0.6025402911122489,0.37162500000000015,0.09289560163447085
moscat,0.9,2.89,1.6629959577688562,0.5325805822244981,0.3106527855896311,0.6724999999999999,0.2118765363759439,0.6025402911122489,0.37162500000000015,0.09289560163447085
moscat,1.0,2.89,1.6629959577688562,0.5325805822244981,0.3106527855896311,0.6724999999999999,0.2118765363759439,0.6025402911122489,0.37162500000000015,0.09289560163447085
evol,0.0,2.16,0.5811865258054232,0.7785299365247934,0.08981061848221872,0.3618,0.20903037331856097,0.5701649682623967,0.2898749999999996,0.05631505777608003
evol,0.1,2.05,0.3295236844080537,0.7760513011487176,0.09031895933877682,0.3889,0.20578450531141218,0.5824756505743588,0.28399999999999964,0.048593864184314835
evol,0.2,2.14,0.6359594676112971,0.7728211768769948,0.09033756129454303,0.4085000000000001,0.20534954186322002,0.5906605884384974,0.29137499999999966,0.0601632616765045
evol,0.30000000000000004,2.51,1.1325755042059107,0.75874379414222,0.08963691119016882,0.4452000000000001,0.20515813068425678,0.6019718970711101,0.31949999999999973,0.08362298147221868
evol,0.4,2.64,1.1935855497811896,0.7533062606007712,0.08888002511850375,0.4732000000000001,0.20375207751311172,0.6132531303003858,0.33374999999999977,0.08762617165890542
evol,0.5,3.11,1.2940813207238813,0.7220905369323567,0.08153599527544013,0.5353000000000001,0.15549500625324586,0.6286952684661784,0.38737500000000014,0.07781937695261334
evol,0.6000000000000001,3.19,1.3535960336164634,0.7197332724556763,0.08200868440688788,0.5357000000000001,0.1540972734897334,0.6277166362278382,0.3901250000000001,0.07781532057481749
evol,0.7000000000000001,3.2,1.3558701406786118,0.7194113517267503,0.08202851211702027,0.5362000000000001,0.15424485322847808,0.6278056758633752,0.38950000000000023,0.07643244855373398
evol,0.8,3.25,1.3437096247164249,0.7089049381429281,0.07709607486676502,0.5573,0.12880848676475576,0.6331024690714641,0.4091250000000002,0.06415375214390359
evol,0.9,3.11,1.2940813207238813,0.7147737585130798,0.08127425089188031,0.5631,0.13817493669733716,0.63893687925654,0.3938750000000002,0.07350133562312891
evol,1.0,3.16,1.2848770722948912,0.698375518778952,0.07986160807813128,0.5930000000000001,0.11092357911661706,0.645687759389476,0.42650000000000027,0.05887947799779588
